Transaction Type,Subtype,Sales Sequence,No,Date,Community,Property,Property Type,Unit,Bedrooms,Floor,Parking,Balcony Area,Size (Sqf),Land Size,Amount (AED),AED/Sqf,Developer
Sales - Ready,Delayed Sell,Primary,41-3955-2022,09-03-2022,Dubai Marina,Millennium Place (The One Dubai Marina By Wyndham),Serviced/Hotel Apartment,908,0 B/R,9,EU,85.9,438.31,,1715632.0,3914.2,The First Group
Sales - Ready,Delayed Sell,Primary,41-3956-2022,09-03-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,3012,0 B/R,30,EU,113.24,448.11,,1484999.0,3313.95,The First Group
Sales - Ready,Sale,Primary,11-4616-2022,09-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,3802,1 B/R,38,B2-215,,623.67,,2125000.0,3407.27,Al Ain Properties
Sales - Ready,Delayed Sell,Primary,41-3895-2022,08-03-2022,Dubai Marina,52-42 Tower 2,Apartment,2702,3 B/R,27,"3F-089, 3F-090",180.51,1776.71,,3670888.0,2066.12,Emaar Properties PJSC
Sales - Ready,Sale,Primary,11-4391-2022,07-03-2022,Dubai Marina,Millennium Place (The One Dubai Marina By Wyndham),Serviced/Hotel Apartment,818,0 B/R,8,EU,,351.23,,1550000.0,4413.07,The First Group
Sales - Ready,Sale,Primary,11-4467-2022,07-03-2022,Dubai Marina,Sparkle Tower A,Apartment,1-2805,3 B/R,28,B3-159,245.96,1884.35,,3100000.0,1645.13,Tebyan Real Estate Clarity
Sales - Ready,Sale,Primary,11-4424-2022,07-03-2022,Dubai Marina,Sparkle Tower A,Apartment,1-606,2 B/R,6,B3-63,166.09,1478.22,,1900000.0,1285.33,Tebyan Real Estate Clarity
Sales - Ready,Sale,Primary,11-4384-2022,07-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,1504,3 B/R,15,"B3-237,B3-238",146.71,1867.88,,6458000.0,3457.4,Al Ain Properties
Sales - Ready,Sale,Primary,11-4380-2022,07-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,5401,1 B/R,54,B2-340,60.28,737.44,,2669000.0,3619.27,Al Ain Properties
Sales - Ready,Sale,Primary,11-4310-2022,04-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,4303,1 B/R,43,B2-145,73.63,809.78,,2650000.0,3272.51,Al Ain Properties
Sales - Ready,Sale,Primary,11-4309-2022,04-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,6704,2 B/R,67,B1-333,101.18,1491.68,,4272400.0,2864.16,Al Ain Properties
Sales - Ready,Sale,Primary,11-4221-2022,03-03-2022,Dubai Marina,Damac Heights,Apartment,3907,2 B/R,39,B1-30,267.92,1828.7,,2351280.0,1285.77,Damac Properties
Sales - Ready,Sale,Primary,11-4235-2022,03-03-2022,Dubai Marina,Damac Heights,Apartment,4105,3 B/R,41,P4-05,304.84,1956.68,,2506000.0,1280.74,Damac Properties
Sales - Ready,Sale,Primary,11-4194-2022,03-03-2022,Dubai Marina,Damac Heights,Apartment,4107,2 B/R,41,B1-49,267.92,1825.04,,2354190.0,1289.94,Damac Properties
Sales - Ready,Sale,Primary,11-4188-2022,03-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,7105,2 B/R,71,B3-094,,1197.28,,2700000.0,2255.11,Al Ain Properties
Sales - Ready,Sale,Primary,11-3945-2022,02-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,5804,1 B/R,58,B2-290,82.24,704.61,,2400000.0,3406.13,Al Ain Properties
Sales - Ready,Sale,Primary,11-3842-2022,01-03-2022,Dubai Marina,Opal Marina Tower,Apartment,604,2 B/R,6,B2-22,234.98,1536.67,,1138000.0,740.56,Mismak Properties
Sales - Ready,Sale,Primary,11-3923-2022,01-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,6208,3 B/R,62,"B1-065,B1-065A",145.74,1919.87,,7655000.0,3987.26,Al Ain Properties
Sales - Ready,Sale,Primary,11-3459-2022,24-02-2022,Dubai Marina,Millennium Place (The One Dubai Marina By Wyndham),Serviced/Hotel Apartment,2008,0 B/R,20,EU,85.9,438.31,,2290625.0,5226.04,The First Group
Sales - Ready,Delayed Sell,Primary,41-3085-2022,23-02-2022,Dubai Marina,Damac Heights,Apartment,801,1 B/R,8,B5-19,,1221.07,,1563640.0,1280.55,Damac Properties
Sales - Ready,Sale,Primary,11-3396-2022,23-02-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,2704,3 B/R,27,"B2-067,B2-068",146.82,1867.77,,6534000.0,3498.29,Al Ain Properties
Sales - Ready,Sale,Primary,11-3406-2022,23-02-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,3203,1 B/R,32,B1-380,74.59,809.24,,2619500.0,3237.0,Al Ain Properties
Sales - Ready,Delayed Sell,Primary,41-2971-2022,22-02-2022,Dubai Marina,Sparkle Tower B,Apartment,2-1406,0 B/R,14,B3-161,55.0,412.58,,850000.0,2060.19,Tebyan Real Estate Clarity
Sales - Ready,Delayed Sell,Primary,41-3036-2022,22-02-2022,Dubai Marina,Studio One,Apartment,312,1 B/R,3,B2-039,62.75,712.25,,949050.0,1332.46,Select Group
Sales - Ready,Sale,Primary,11-3214-2022,22-02-2022,Dubai Marina,Jumeirah Living Marina Gate (The Residences at Marina Gate 3),Apartment,4601,1 B/R,46,L4R-477,127.55,977.05,,2466593.0,2524.54,Select Group
Sales - Ready,Sale,Primary,11-3094-2022,18-02-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,3201,1 B/R,32,B1-042,59.63,740.67,,2530000.0,3415.82,Al Ain Properties
Sales - Ready,Sale,Primary,11-3096-2022,18-02-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,6101,1 B/R,61,B1-378,62.0,749.28,,2739000.0,3655.5,Al Ain Properties
Sales - Ready,Sale,Primary,11-3097-2022,18-02-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,6604,2 B/R,66,B1-316,101.18,1491.68,,4262400.0,2857.46,Al Ain Properties
Sales - Ready,Sale,Primary,11-2959-2022,17-02-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,5806,2 B/R,58,B3-136,,1133.45,,2922500.0,2578.41,Al Ain Properties
Sales - Ready,Sale,Primary,11-2966-2022,17-02-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,5601,1 B/R,56,B2-332,60.28,737.44,,2687200.0,3643.95,Al Ain Properties
Sales - Ready,Sale,Primary,11-2921-2022,17-02-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,5602,1 B/R,56,B2-334,,626.25,,2187450.0,3492.94,Al Ain Properties
Sales - Ready,Sale,Primary,11-2967-2022,17-02-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,5603,1 B/R,56,B2-284,73.63,809.78,,2780000.0,3433.05,Al Ain Properties
Sales - Ready,Sale,Primary,11-2968-2022,17-02-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,5604,1 B/R,56,B2-333,82.24,704.61,,2445500.0,3470.71,Al Ain Properties
Sales - Ready,Sale,Primary,11-2969-2022,17-02-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,5605,3 B/R,56,"B1-353, B1-353A",146.39,1864.86,,7589200.0,4069.58,Al Ain Properties
Sales - Ready,Sale,Primary,11-2993-2022,17-02-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,5606,2 B/R,56,B2-261,103.01,1163.91,,5029000.0,4320.78,Al Ain Properties
Sales - Ready,Sale,Primary,11-2922-2022,17-02-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,5607,2 B/R,56,B2-262,174.81,1476.93,,5989150.0,4055.14,Al Ain Properties
Sales - Ready,Sale,Primary,11-2925-2022,17-02-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,5608,3 B/R,56,"B1-039, B1-038",144.56,1927.29,,7792500.0,4043.23,Al Ain Properties
Sales - Ready,Sale,Primary,11-2704-2022,15-02-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,3208,3 B/R,32,"B2-238,B2-239",145.85,1923.85,,7598000.0,3949.37,Al Ain Properties
Sales - Ready,Sale,Primary,11-2721-2022,15-02-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,5303,1 B/R,53,B2-350,73.63,809.78,,2750000.0,3396.0,Al Ain Properties
Sales - Ready,Sale,Primary,11-2508-2022,11-02-2022,Dubai Marina,La Riviera Tower,Apartment,2004,2 B/R,20,B2-63,127.98,1150.03,,745000.0,647.81,B&M Riviera Developments
Sales - Ready,Sale,Primary,11-2511-2022,11-02-2022,Jumeirah Beach Residence,Bahar 2,Apartment,1204,1 B/R,12,B-149,183.1,1528.92,,1500000.0,981.09,Dubai Properties
Sales - Ready,Sale,Primary,11-2512-2022,11-02-2022,Jumeirah Beach Residence,Bahar 2,Apartment,1703,2 B/R,17,B-119,93.43,1516.54,,2000000.0,1318.79,Dubai Properties
Sales - Ready,Delayed Sell,Primary,41-2315-2022,10-02-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,1104,3 B/R,11,"B3-071,B3-072",146.28,1860.34,,6182000.0,3323.04,Al Ain Properties
Sales - Ready,Delayed Sell,Primary,41-2162-2022,09-02-2022,Dubai Marina,Millennium Place (The One Dubai Marina By Wyndham),Serviced/Hotel Apartment,1304,0 B/R,13,EU,,347.25,,1250000.0,3599.75,The First Group
Sales - Ready,Sale,Primary,11-2295-2022,09-02-2022,Dubai Marina,Sparkle Tower B,Apartment,2-104,2 B/R,1,B1-04,229.81,1521.71,,1850000.0,1215.74,Tebyan Real Estate Clarity
Sales - Ready,Delayed Sell,Primary,41-2044-2022,08-02-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,3207,2 B/R,32,B2-183,175.78,1473.16,,5684000.0,3858.37,Al Ain Properties
Sales - Ready,Sale,Primary,11-2250-2022,08-02-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,6406,2 B/R,64,B3-381,,1203.52,,2841500.0,2360.99,Al Ain Properties
Sales - Ready,Sale,Primary,11-2239-2022,08-02-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,6703,2 B/R,67,B1-315,286.43,1816.64,,5245000.0,2887.2,Al Ain Properties
Sales - Ready,Sale,Primary,11-2166-2022,07-02-2022,Dubai Marina,Jumeirah Living Marina Gate (The Residences at Marina Gate 3),Apartment,0103,4 B/R,1,"L1R-120, L1R-108, L1R108 T",383.09,4346.07,,11125000.0,2559.78,Select Group
Sales - Ready,Sale,Primary,11-2066-2022,07-02-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,3208,1 B/R,32,B3-229,58.88,742.39,,2580000.0,3475.25,Al Ain Properties
Sales - Ready,Sale,Primary,11-2067-2022,07-02-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,4306,2 B/R,43,B3-261,,1133.45,,2640300.0,2329.44,Al Ain Properties
Sales - Ready,Sale,Primary,11-2065-2022,07-02-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,4506,2 B/R,45,B3-175,,1133.45,,2744000.0,2420.93,Al Ain Properties
Sales - Ready,Sale,Primary,11-2070-2022,07-02-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,2301,1 B/R,23,B2-414,59.63,740.67,,2502000.0,3378.02,Al Ain Properties
Sales - Ready,Sale,Primary,11-2064-2022,07-02-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,6502,2 B/R,65,B2-184,286.11,1798.88,,5013000.0,2786.73,Al Ain Properties
Sales - Ready,Sale,Primary,11-2056-2022,04-02-2022,Dubai Marina,LIV Residence,Apartment,103,0 B/R,1,B1-P02,50.38,554.24,,1050548.0,1895.48,LIV Real Estate Development
Sales - Ready,Sale,Primary,11-2051-2022,04-02-2022,Dubai Marina,Sparkle Tower A,Apartment,1-2305,3 B/R,23,B3-152,169.64,1882.62,,2833428.54,1505.04,Tebyan Real Estate Clarity
Sales - Ready,Sale,Primary,11-1376-2022,27-01-2022,Dubai Marina,LIV Residence,Apartment,102,0 B/R,1,B1-P01,48.44,529.48,,980000.0,1850.87,LIV Real Estate Development
Sales - Ready,Sale,Primary,11-1406-2022,27-01-2022,Dubai Marina,Sparkle Tower A,Apartment,1-1805,2 B/R,18,B3-117,206.99,1479.83,,2100000.0,1419.08,Tebyan Real Estate Clarity
Sales - Ready,Delayed Sell,Primary,41-1347-2022,25-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,5104,4 B/R,51,"B3-313,B3-313A",151.99,2555.05,,8102000.0,3170.97,Al Ain Properties
Sales - Ready,Sale,Primary,11-1190-2022,25-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,4006,1 B/R,40,B3-337,75.03,856.28,,2332250.0,2723.71,Al Ain Properties
Sales - Ready,Sale,Primary,11-1129-2022,24-01-2022,Dubai Marina,Jumeirah Living Marina Gate (The Residences at Marina Gate 3),Apartment,4603,1 B/R,46,L4R-478,50.81,790.72,,1760911.0,2226.96,Select Group
Sales - Ready,Sale,Primary,11-1099-2022,24-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,7104,2 B/R,71,B3-299,72.66,1154.22,,3100000.0,2685.79,Al Ain Properties
Sales - Ready,Sale,Primary,11-1102-2022,24-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,2508,3 B/R,25,"B1-023,B1-024",145.85,1923.85,,7556000.0,3927.54,Al Ain Properties
Sales - Ready,Sale,Primary,11-1103-2022,24-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,3101,1 B/R,31,B2-411,59.63,740.67,,2520000.0,3402.32,Al Ain Properties
Sales - Ready,Sale,Primary,11-1114-2022,24-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,4703,1 B/R,47,B2-228,73.63,809.78,,2690000.0,3321.91,Al Ain Properties
Sales - Ready,Sale,Primary,11-1101-2022,24-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,5503,1 B/R,55,B2-335,73.63,809.78,,2770000.0,3420.7,Al Ain Properties
Sales - Ready,Delayed Sell,Primary,41-1225-2022,21-01-2022,Dubai Marina,Jumeirah Living Marina Gate (The Residences at Marina Gate 3),Apartment,3807,1 B/R,38,L4R-437,43.27,945.19,,1769226.0,1871.83,Select Group
Sales - Ready,Delayed Sell,Primary,41-1224-2022,21-01-2022,Dubai Marina,Jumeirah Living Marina Gate (The Residences at Marina Gate 3),Apartment,5106,1 B/R,51,L3R-354,43.16,942.82,,1881600.0,1995.72,Select Group
Sales - Ready,Delayed Sell,Primary,41-1202-2022,21-01-2022,Dubai Marina,Jumeirah Living Marina Gate (The Residences at Marina Gate 3),Apartment,5505,1 B/R,55,L3R-377,43.27,942.71,,1905222.0,2021.0,Select Group
Sales - Ready,Sale,Primary,11-982-2022,20-01-2022,Jumeirah Beach Residence,Rimal 1,Apartment,508,3 B/R,5,B788/ B789,52.96,1919.22,,1614174.0,841.06,Dubai Properties
Sales - Ready,Delayed Sell,Primary,41-1054-2022,19-01-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,914,1 B/R,9,EU,,442.83,,1429350.0,3227.76,The First Group
Sales - Ready,Delayed Sell,Primary,41-928-2022,18-01-2022,Dubai Marina,Millennium Place (The One Dubai Marina By Wyndham),Serviced/Hotel Apartment,704,0 B/R,7,EU,,347.25,,1395000.0,4017.32,The First Group
Sales - Ready,Sale,Primary,11-792-2022,18-01-2022,Dubai Marina,Opal Marina Tower,Apartment,702,2 B/R,7,B2-26,234.98,1546.14,,1300000.0,840.8,Mismak Properties
Sales - Ready,Sale,Primary,11-758-2022,18-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,4806,2 B/R,48,B3-163,,1133.45,,2914000.0,2570.91,Al Ain Properties
Sales - Ready,Sale,Primary,11-759-2022,18-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,5706,2 B/R,57,B3-140,,1133.45,,2720000.0,2399.75,Al Ain Properties
Sales - Ready,Delayed Sell,Primary,41-842-2022,17-01-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,812,0 B/R,8,EU,74.7,409.57,,975000.0,2380.54,The First Group
Sales - Ready,Sale,Primary,11-694-2022,17-01-2022,Dubai Marina,Marina View Towers A,Apartment,1003,2 B/R,10,B1/88,155.97,961.98,,698898.0,726.52,New City Developers
Sales - Ready,Sale,Primary,11-725-2022,17-01-2022,Dubai Marina,Opal Marina Tower,Apartment,2802,2 B/R,28,B3-75,234.98,1546.14,,1430649.0,925.3,Mismak Properties
Sales - Ready,Sale,Primary,11-693-2022,17-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,4706,2 B/R,47,B3-167,,1133.45,,2785000.0,2457.1,Al Ain Properties
Sales - Ready,Sale,Primary,11-692-2022,17-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,4508,3 B/R,45,"B2-100,B2-101",144.56,1927.29,,7506000.0,3894.58,Al Ain Properties
Sales - Ready,Sale,Primary,11-695-2022,17-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,4708,3 B/R,47,"B1-292,B1-292A",144.56,1927.29,,7261200.0,3767.56,Al Ain Properties
Sales - Ready,Sale,Primary,11-629-2022,14-01-2022,Dubai Marina,LIV Residence,Apartment,1901,2 B/R,19,B1-P24,99.57,1303.63,,2301577.0,1765.52,LIV Real Estate Development
Sales - Ready,Sale,Primary,11-658-2022,14-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,2908,1 B/R,29,B3-219,58.88,742.39,,2200000.0,2963.39,Al Ain Properties
Sales - Ready,Sale,Primary,11-661-2022,14-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,4304,1 B/R,43,B2-143,82.24,704.61,,2290000.0,3250.02,Al Ain Properties
Sales - Ready,Sale,Primary,11-551-2022,13-01-2022,Dubai Marina,Marina Wharf Tower 2,Apartment,2704,1 B/R,27,F2-45,242.84,767.58,,650000.0,846.82,Dheeraj East Coast L.L.C
Sales - Ready,Sale,Primary,11-567-2022,13-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,6206,2 B/R,62,B3-110,,1135.82,,2962500.0,2608.25,Al Ain Properties
Sales - Ready,Sale,Primary,11-538-2022,12-01-2022,Dubai Marina,LIV Residence,Apartment,1906,2 B/R,19,B1-P30,113.78,1395.23,,2882548.0,2066.0,LIV Real Estate Development
Sales - Ready,Sale,Primary,11-481-2022,12-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,3706,1 B/R,37,B3-348,75.03,856.28,,2287500.0,2671.45,Al Ain Properties
Sales - Ready,Sale,Primary,11-482-2022,12-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,3708,3 B/R,37,"B2-363,B2-364",145.85,1923.85,,7183000.0,3733.66,Al Ain Properties
Sales - Ready,Sale,Primary,11-495-2022,12-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,4008,3 B/R,40,"B2-156,B2-157",145.85,1923.85,,7190000.0,3737.3,Al Ain Properties
Sales - Ready,Sale,Primary,11-517-2022,12-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,4608,3 B/R,46,"B2-324,B2-325",144.56,1927.29,,7241200.0,3757.18,Al Ain Properties
Sales - Ready,Sale,Primary,11-485-2022,12-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,4803,1 B/R,48,B2-232,73.63,809.78,,2700000.0,3334.26,Al Ain Properties
Sales - Ready,Lease to Own Registration,Primary,110-11-2022,11-01-2022,Dubai Marina,Jumeirah Living Marina Gate (The Residences at Marina Gate 3),Apartment,3506,1 B/R,35,L4R-408,43.38,945.29,,882727.5,933.81,Select Group
Sales - Ready,Sale,Primary,11-478-2022,11-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,3206,2 B/R,32,B2-107,104.41,1168.97,,4815000.0,4119.01,Al Ain Properties
Sales - Ready,Delayed Sell,Primary,41-364-2022,10-01-2022,Dubai Marina,Marina Arcade Tower,Apartment,4007,1 B/R,,G-14,42.84,797.72,,1050000.0,1316.25,Marina Arcade Real Estate LLC
Sales - Ready,Sale,Primary,11-351-2022,10-01-2022,Jumeirah Beach Residence,Al Fattan Marine Tower 2,Apartment,2502,3 B/R,25,B3-073,77.07,2172.71,,2567800.0,1181.84,Al Fattan Proprerties LLC
Sales - Ready,Sale,Primary,11-301-2022,07-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,5802,1 B/R,58,B2-289,,626.25,,2200000.0,3512.98,Al Ain Properties
Sales - Ready,Sale,Primary,11-231-2022,06-01-2022,Dubai Marina,LIV Residence,Apartment,1902,2 B/R,19,B1-P25,169.64,1417.94,,2457548.0,1733.18,LIV Real Estate Development
Sales - Ready,Sale,Primary,11-205-2022,06-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,5906,2 B/R,59,B3-116,,1135.82,,2905000.0,2557.63,Al Ain Properties
Sales - Ready,Sale,Primary,11-218-2022,06-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,904,3 B/R,9,"B3-067,B3-068",146.28,1860.99,,6180000.0,3320.82,Al Ain Properties
Sales - Ready,Sale,Primary,11-217-2022,06-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,4308,3 B/R,43,"B2-122,B2-123",144.56,1927.29,,7240000.0,3756.56,Al Ain Properties
Sales - Ready,Sale,Primary,11-176-2022,05-01-2022,Dubai Marina,52-42 Tower 2,Apartment,401,1 B/R,4,2F-141,102.37,1002.24,,2170888.0,2166.04,Emaar Properties PJSC
Sales - Ready,Sale,Primary,11-119-2022,05-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,2906,1 B/R,29,B3-218,75.03,856.28,,2273500.0,2655.1,Al Ain Properties
Sales - Ready,Sale,Primary,11-120-2022,05-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,3708,1 B/R,37,B3-347,58.88,742.39,,2256000.0,3038.82,Al Ain Properties
Sales - Ready,Sale,Primary,11-121-2022,05-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,6506,2 B/R,65,B3-355,,1203.52,,2640000.0,2193.56,Al Ain Properties
Sales - Ready,Sale,Primary,11-123-2022,05-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,7205,2 B/R,72,B2-367,,1197.28,,2760000.0,2305.23,Al Ain Properties
Sales - Ready,Sale,Primary,11-178-2022,05-01-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,3001,1 B/R,30,B1-034,59.63,740.67,,2510000.0,3388.82,Al Ain Properties
Sales - Ready,Sale,Primary,11-101-2022,04-01-2022,Dubai Marina,LIV Residence,Apartment,2401,2 B/R,24,B1-P35,99.57,1307.72,,2264000.0,1731.26,LIV Real Estate Development
Sales - Ready,Delayed Sell,Primary,41-14402-2021,30-12-2021,Dubai Marina,52-42 Tower 2,Apartment,202,1 B/R,2,2F-013,101.94,1011.39,,2221888.0,2196.88,Emaar Properties PJSC
Sales - Ready,Delayed Sell,Primary,41-14364-2021,29-12-2021,Dubai Marina,52-42 Tower 2,Apartment,301,1 B/R,3,2F-117,102.47,1002.24,,2166888.0,2162.05,Emaar Properties PJSC
Sales - Ready,Sale,Primary,11-23511-2021,29-12-2021,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,6505,2 B/R,65,B3-379,72.23,1152.61,,2960000.0,2568.09,Al Ain Properties
Sales - Ready,Sale,Primary,11-23512-2021,29-12-2021,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,4908,3 B/R,49,"B2-264,B2-265",144.56,1927.29,,7499686.0,3891.3,Al Ain Properties
Sales - Ready,Delayed Sell,Primary,41-14242-2021,27-12-2021,Dubai Marina,52-42 Tower 2,Apartment,201,1 B/R,2,1F-032,102.15,1002.02,,2162888.0,2158.53,Emaar Properties PJSC
Sales - Ready,Sale,Primary,11-23289-2021,27-12-2021,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,6605,2 B/R,66,B3-357,72.23,1152.61,,3020500.0,2620.58,Al Ain Properties
Sales - Ready,Delayed Sell,Primary,41-14187-2021,26-12-2021,Dubai Marina,Jumeirah Living Marina Gate (The Residences at Marina Gate 3),Apartment,3907,1 B/R,39,L4R-444,43.27,945.19,,1827322.0,1933.29,Select Group
Sales - Ready,Sale,Primary,11-23196-2021,26-12-2021,Dubai Marina,Jumeirah Living Marina Gate (The Residences at Marina Gate 3),Apartment,1901,1 B/R,19,L6R-650,127.23,977.91,,2458105.0,2513.63,Select Group
Sales - Ready,Sale,Primary,11-23169-2021,26-12-2021,Dubai Marina,Jumeirah Living Marina Gate (The Residences at Marina Gate 3),Apartment,3303,0 B/R,33,L6R-613,39.18,609.24,,1600000.0,2626.21,Select Group
Sales - Ready,Sale,Primary,11-23191-2021,26-12-2021,Dubai Marina,Jumeirah Living Marina Gate (The Residences at Marina Gate 3),Apartment,4301,1 B/R,43,L4R-459,127.45,975.0,,2460227.0,2523.3,Select Group
Sales - Ready,Sale,Primary,11-23187-2021,26-12-2021,Dubai Marina,Jumeirah Living Marina Gate (The Residences at Marina Gate 3),Apartment,4706,1 B/R,47,L3R-310,43.27,942.82,,1897546.0,2012.63,Select Group
Sales - Ready,Sale,Primary,11-23198-2021,26-12-2021,Dubai Marina,Jumeirah Living Marina Gate (The Residences at Marina Gate 3),Apartment,5504,2 B/R,55,L2R-279,92.36,1426.66,,2623500.0,1838.91,Select Group
Sales - Ready,Sale,Primary,11-23193-2021,26-12-2021,Dubai Marina,Jumeirah Living Marina Gate (The Residences at Marina Gate 3),Apartment,5506,1 B/R,55,L3R-378,43.27,942.82,,1924663.0,2041.39,Select Group
Sales - Ready,Sale,Primary,11-23166-2021,26-12-2021,Dubai Marina,No. 9 Tower Dubai Marina,Apartment,3101,3 B/R,31,"B4-34, B4-36",125.19,1805.23,,3299999.0,1828.02,Select Group
